publication_number,title,abstract,publication_date,assignee,inventor,cpc_code
US-10874875-B2,Irradiation device,"An irradiation device for insertion into an orifice of the body for providing photodynamic therapy or diagnosis comprises: a housing  1, 21, 31, 51, 61, 71  adapted to be fully inserted and secured in the orifice, the housing  1, 21, 31, 51, 61, 71  enclosing an LED lamp system  5, 25, 35, 45, 54, 62, 72  and a power source  41, 68, 78 , for powering the LED lamp system  5, 25, 35, 45, 54, 62, 72 , wherein the device is independently operational while located within the orifice.",20201229,PHOTOCURE ASA,KLEM BJORN,A61N2005/0645
US-11274161-B2,Monoclonal antibodies that specifically recognize canine DLA-DR antigen and their uses,"Disclosed are monoclonal antibodies and their fragments that specifically recognize canine DLA-DR antigen and their use in the treatment, prevention, or diagnosis of leukemias and lymphomas, especially canine.",20220315,INST IMMUNOLOGII I TERAPII DOSWIADCZANEJ POLSKIEJ AKADEMII NAUK,MIĄŻEK ARKADIUSZ,G01N33/57557
US-2018215816-A1,Anti-cgrp compositions and use thereof,"The present invention is directed to antibodies and fragments thereof having binding specificity for CGRP. Another embodiment of this invention relates to the antibodies described herein, and binding fragments thereof, comprising the sequences of the V H , V L  and CDR polypeptides described herein, and the polynucleotides encoding them. The invention also contemplates conjugates of anti-CGRP antibodies and binding fragments thereof conjugated to one or more functional or detectable moieties. The invention also contemplates methods of making said anti-CGRP antibodies and binding fragments thereof. Embodiments of the invention also pertain to the use of anti-CGRP antibodies, and binding fragments thereof, for the diagnosis, assessment and treatment of diseases and disorders associated with CGRP.",20180802,ALDERBIO HOLDINGS LLC,KOVACEVICH BRIAN ROBERT,A61P25/00
US-2018282400-A1,Broadly-Neutralizing ANTI-HIV Antibodies,"The present invention relates to anti-HIV antibodies. Also disclosed are related methods and compositions. HIV causes acquired immunodeficiency syndrome (AIDS), a condition in humans characterized by clinical features including wasting syndromes, central nervous system degeneration and profound immunosuppression that results in life-threatening opportunistic infections and malignancies. Since its discovery in 1981, HIV type 1 (HIV-1) has led to the death of at least 25 million people worldwide.",20181004,The Rockefeller Universtiy,MOUQUET HUGO,C07K2317/565
US-2018161285-A1,Composition and Method For Treating Seizure Disorders,"The invention provides compositions and methods for treating seizure disorders such as epilepsy in humans and animals using, in a first embodiment, the combination of (i) an effective amount of a barbiturate drug, such as phenobarbital or primidone, which solely enhances GABAergic inhibition in a patient suffering a seizure disorder; and (ii) phytocannabinoid cannabidiol (CBD) in a dosage amount sufficient to overcome the hepatic metabolic effect stimulated by the barbiturate drug and provide bioavailable CBD to the patient in clinically efficacious amounts.",20180614,INDIA GLOBALIZATION CAPITAL INC,MUKUNDA RAMACHANDRA,A61P25/08
EP-3769312-A1,Systems and methods for personalized medication therapy management,"A computational therapeutic management system and associated method for providing personalised therapy management for a patient comprise a therapeutic analytics engine configured to build a personalized physiology signature using multivariate data, including physiological data, contextual data and clinical data. The personalized physiology signature along with the drug-specific and individual-specific knowledge bases enables the system to evaluate and quantify the therapeutic and adverse effects of drugs on patients. Further, the system monitors the patient&#39;s health condition, predicts changes, and provides alarms and reports in a user interface. The clinical annotations by the caregiver/clinician in the interface are considered as feedback to update the knowledge bases and personalized physiology signature.",20210127,BIOSIGNS PTE LTD,RAJPUT KULDEEP SINGH,G16H70/40
EP-3795562-A1,Dérivés de prostaglandine f2alpha destinés à réduire la pression intraoculaire,"The invention relates to clinical chemistry, in particular, to new biologically active compounds - amide derivatives of prostaglandin F2α. These compounds have low cytotoxicity and are capable of stimulating formation of endogenous nitrogen oxide in mammal cells. Synthesis of such compounds promotes expansion of nomenclature of biologically active derivatives of prostaglandin F 2α  capable of reducing intraocular pressure.",20210324,GURUS BIOPHARM LLC,BEZUGLOV VLADIMIR VILENOVICH,A61K31/5575
US-2023091240-A1,System and method of monitoring mental health conditions,"Systems and methods for assessing mental health of a person, including: recording digital activity data of the user on the mobile device, wherein the digital activity data does not include personal content of the user, applying the digital activity data to a plurality of machine learning models, wherein each of the machine learning models represents a digital phenotype for a different mental health condition, determining a similarity score for each mental health condition corresponding to each of the plurality of machine learning models based on comparing an output of the respective machine learning model to a digital phenotype for the corresponding mental health condition, outputting, at a user&#39;s display, the at least one mental health similarity score, and predicting, by the processor, at least one mental health condition of the user based on the calculated similarity scores.",20230323,BEHAVIDENCE INC,COHEN ROY,A61B5/165
US-2023330095-A1,Pharmaceutical composition for anti-cancer comprising nupr1 isoform a inhibitor,"The present disclosure provides a pharmaceutical composition for preventing or treating cancer comprising a NUPR1 isoform A inhibitor as an active ingredient, a composition for diagnosing or predicting prognosis of cancer comprising an agent for measuring an expression or activity level of a NUPR1 isoform A, a kit for diagnosing or predicting prognosis of cancer comprising the composition, a method for screening a substance for inhibiting cancer cell proliferation or metastasis, a method for providing information for cancer cell proliferation or metastasis, a food composition for preventing or improving cancer comprising a NUPR1 isoform A inhibitor as an active ingredient, and a feed composition for preventing or improving cancer comprising a NUPR1 isoform A inhibitor as an active ingredient. 
     Since a NUPR1 isoform A inhibitor according to the present disclosure has an anticancer effect, pharmaceutical compositions, food compositions, and feed compositions comprising the NUPR1 isoform A inhibitor may be usefully used for preventing, treating, or improving cancer. In addition, by measuring the expression or activity level of a NUPR1 isoform A, cancer diagnosis or prognosis may be predicted, substances for inhibiting cancer growth or metastasis may be screened, and information for cancer growth or metastasis may be provided to a subject.",20231019,SEOUL NAT UNIV R&DB FOUNDATION,PAEK SUN HA,G01N33/5758
US-2021250526-A1,Device for capturing a hyperspectral image,"The invention relates to a device for capturing a hyperspectral image, comprising: means for acquiring a diffracted image of a focal plane; means for acquiring at least two non-diffracted images of the focal plane, obtained with different chromatography filters; and means for constructing a hyperspectral image from the different diffractions, comprising a neural network configured to calculate the intensity of each voxel of the hyperspectral image according to: the light intensity in each of the non-diffracted images at coordinates x and y, the weight of each intensity depending on the closeness of the desired wavelength to the colour of the chromatography filter of said non-diffracted image; and light intensities in each of the diffractions of the diffracted image in which the x, y coordinates are dependent on coordinates x, y and λ of the voxel.",20210812,CARBON BEE,GERMAIN GÉRALD,G01J3/2823
US-2021275311-A1,Combination intra-medullary and extra-medullary fracture stabilization with aligning arm,"A device provides a variety of fracture fixation options should a fracture occur after total hip arthroplasty or total knee arthroplasty, and provides associated methods and apparatus for application of provided fixation. The ability to pre-engineer fracture fixation contingent solutions into femoral or tibial components provides for a distinct clinical advantage in the planning and execution for periprosthetic fracture fixation. Said methods and apparatus include targeting devices which allow for intimate association of fixed angle locking screws in pre-drilled holes in an existing prosthetic, femoral nail, or other components including additional fixation components. Such apparatus and methods further include the use of alignment devices and other components to allow for ease of repair of fractures utilizing the pre-engineered solutions.",20210909,GENESIS MEDICAL DEVICES LLC,SEGINA DANIEL NICK,A61B17/8061
US-2022064282-A1,"Antibody binding to human il-1 beta, preparation method therefor and use thereof","Disclosed is an antibody of an entirely new structure that can bind to human IL-1β, or an antigen binding fragment thereof, which has a good biological function of blocking the binding of IL-1β to receptors thereof and thereby down regulate the activity of IL-1β, and can be used to prepare drugs for the treatment of immune diseases (such as arthritis, osteoporosis, and tumor necrosis factor receptor-associated periodic syndrome) mediated by IL-1β overexpression, and so has good prospects for clinical application.",20220303,ZEDA BIOPHARMACEUTICALS INC,XIA YU,A61P37/06
US-11780889-B2,Porcine circovirus type 3 immunogenic compositions and methods of making and using the same,"A new species of circovirus, porcine circovirus type 3 (PCV3), was identified from sows with clinical symptoms normally associated with porcine circovirus type 2 (PCV2) infection and in aborted fetuses. Molecular and serological analyses suggest PCV3 commonly circulates in U.S. swine. The present disclosure provides immunological compositions and methods related to the production and administration of such compositions.",20231010,UNIV KANSAS STATE,HAUSE BEN,C07K14/005
US-10940251-B2,Mechanical gauge for estimating inductance changes in resonant power transfer systems with flexible coils for use with implanted medical devices,"Systems and devices for improving wireless power transmission are disclosed herein. The system can include an implantable medical device that can include an energy storage component and a secondary coil electrically coupled to the energy storage component. The system can include a charging device. The charging device can include a flexible housing defining an internal volume, a resonant circuit, a plurality of sensors coupled to the primary coil, and processor. The resonant circuit can include a deformable primary coil located within the internal volume of the housing. The processor can determine a deformation of the primary coil based on at least one signal received from at least one of the plurality of sensors.",20210309,TC1 LLC,HANSEN JOHN FREDDY,H02J2105/46
US-10779890-B2,System and method for performing joint replacement surgery using artificial neural network,"This disclosure relates to a system and method for performing joint replacement surgery, and in particular relates to an artificial neural network that uses machine learning to improve patient outcomes. In an example method, the method includes the step of predicting a patient score indicative of a success of a surgical procedure as perceived by a patient using a neural network. Based on the predicted patient score, a surgeon may update a treatment plan in a way that improves the patient&#39;s outcome. These and other benefits will be appreciated from the following description.",20200922,WEIR JARED,WEIR JARED,G06N3/0475
US-9884188-B2,Coil assembly in an implantable medical device,"According to an embodiment, a receiver coil assembly for an implantable medical device is disclosed. The receiver coil assembly includes at least two spatially separated coil units comprised by a housing of an internal component. The spatial separation is along a thickness of the housing.",20180206,OTICON MEDICAL AS,TOURREL GUILLAUME,H02J7/70
US-2018099125-A1,Apparatus and method for navigating a medical device,"The present disclosure provides apparatuses and methods for navigating a medical device into the body of a patient during an intracoronary or other medical procedure. In many embodiments, the present disclosure includes the use of a guidewire managing assembly that may be used in combination with a guidewire that includes a medical positioning system sensor. This guidewire managing assembly and sensor enabled guidewire are used in combination with a medical positioning system to determine the position of a medical device, such as a catheter or catheter sheath, and specifically the tip of the catheter or catheter sheath, that is threaded over the guidewire during a procedure. The present disclosure further relates to methods of tracking a medical device, such as a catheter tip, inside the body of a subject during a procedure.",20180412,ST JUDE MEDICAL CARDIOLOGY DIV INC,RICHER LOUIS-PHILIPPE,A61B2090/062
US-2019088355-A1,Modifying characteristics of a medical device utilizing a mobile device,"Methods, computer systems and computer readable media for modifying characteristics of a medical device via a mobile device are provided. In embodiments, data communicated by a medical device used to treat a patient is provided to a mobile device associated with a clinician. A notification associated with the medical device is received and communicated to the mobile device. Confirmation of the notification is received from the clinician via the mobile device and the notification is communicated to the medical device. Characteristics of the execution of the previously input order are automatically modified in accordance with the notification.",20190321,CERNER INNOVATION INC,KELLY LISA,A61M2205/18
US-2019261858-A1,Imaging method for acute lymphoblastic leukemia using an imaging agent and method of producing an imaging agent,"The present invention provides an in vivo imaging method that facilitates the diagnosis of Acute Lymphoblastic Leukemia (ALL) at an early stage. Early diagnosis is particularly advantageous as a tool to select more aggressive therapy, to estimate the success rate for visualizing ALL at the time of diagnosis.",20190829,SATZ STANLEY,SATZ STANLEY,G01N33/57505
EP-3286218-A1,"Agents se liant spécifiquement au motif rgd de la cadhérine 17 humaine, de la cadhérine 5 humaine, de la cadhérine 6 humaine et de la cadhérine 20 humaine","The disclosure relates to agents binding specifically to human cadherin 17 (CDH17), and/or to human cadherin 5 (CDH5), and/or to human cadherin 6 (CDH6), and/or to human cadherin 20 (CDH20). The disclosure also relates to the use of these agents in therapy, methods for diagnosis and/or prognosis and/or stratification of a cancer in a subject, and pharmaceutical compositions comprising said agents. The disclosure also relates to cancer markers and markers of metastasis.",20180228,CONSEJO SUPERIOR INVESTIGACION,CASAL ÁLVAREZ JOSÉ IGNACIO,G01N33/57525
EP-3360516-A3,Procédé de sertissage uniforme et d&#39;expansion de dispositifs médicaux,"A medical device-includes a scaffold crimped to a catheter having an expansion balloon. The scaffold is crimped to the balloon by a process that includes one or more balloon pressurization steps. The balloon pressurization steps are selected to enhance scaffold retention to the balloon, maintain a relatively uniform arrangement of balloon folds about the inner surface of the crimped scaffold so that the scaffold expands in a uniform manner when the balloon is inflated, and to avoid any possible over-stretching of balloon material.",20180829,ABBOTT CARDIOVASCULAR SYSTEMS INC,WANG YUNBING,A61F2/91
EP-3366306-A3,"Verwendung einiger peptide bei der diagnose und behandlung von diabetes, fettleibigkeit und damit verbundenen stoffwechselerkrankungen","The present invention is related with the use of E3 ubiquitin-protein ligase RNF181, UPF0361 protein C3orf37 homolog, Inhibin beta B chain, Aryl-hydrocarbon-interacting-protein-like 1, Ras-related protein Ral-B, STAM-binding protein, Steroid hormone receptor ERR1, Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1, NADH dehydrogenase (ubiquinone) iron-sulfur protein 6 mitochondrial, Platelet glycoprotein lb beta chain, Bifunctional protein NCOAT, Aldolase B, D-beta-hydroxybutirate dehydrogenase mitochondrial, ATP synthase subunit b mitochondrial, Betaine-homocysteine S-methyltransferase 1, Guanine deaminase and Alpha-1-acid glycoprotein in diagnosis and treatment of diabetes, obesity and metabolic diseases associated thereto.",20181128,ISTANBUL UNIV REKTORLUGU,OKTAYOGLU SELDA,A61K38/1796
EP-3454893-A1,Composition comprenant des antigènes et un adjuvant pour les muqueuses et méthode d&#39;utilisation,"The majority of the mortality observed in young pigs occurs between three and five weeks post-weaning for S. suis infections and between four and six weeks post- weaning for H. parasuis and Actinobacillus suis infections. Control of clinical disease associated with S. suis, A. suis and with H. parasuis has been attempted by means of antibiotic treatment, by controlled exposure with live organisms, and by vaccination, using either inactivated commercial or autogenous bacterins administered parenterally. Disclosed herein is an immunogenic composition comprising antigens and a mucosal adjuvant. The composition may be administered to subjects, such as animals, particularly piglets from pre-weaning through the nursery phase, such as from birth or from three to five days of age, to protect from these diseases.",20190320,PHIBRO ANIMAL HEALTH CORPORATION,WEAVER GRANT,A61K2039/552
EP-3756687-A3,Peptides cibles pour la thérapie et le diagnostic du cancer de l&#39;ovaire,"A set of target peptides are presented by HLA A*0201 on the surface of ovarian cancer cells. They are envisioned to among other things (a) stimulate an immune response to the proliferative disease, e.g., ovarian cancer, (b) function as immunotherapeutics in adoptive T-cell therapy or as a vaccine, (c) facilitate antibody recognition of tumor boundaries in surgical pathology samples, (d) act as biomarkers for early detection and/or diagnosis of the disease, and (e) act as targets in the generation antibody-like molecules which recognize the target-peptide/MHC complex.",20210324,UNIV VIRGINIA PATENT FOUNDATION,HUNT DONALD F,A61K40/42
EP-3858298-A1,Verzweigte ballonexpandierbare stentanordnung,"The invention relates to a medical device, the medical device comprising a balloon catheter, a first stent, and a second stent; the balloon catheter having a shaft and an inflatable balloon mounted to the shaft at the distal end the balloon having a distal portion having a first outer diameter and a proximal portion having a second outer diameter, wherein the first diameter is smaller than the second diameter and a transition region located between the distal portion and the proximal portion, a first stent having a first nominal diameter mounted on the distal portion of the balloon and a second stent having a second nominal diameter mounted on the proximal portion of the balloon, a distal portion of the second stent overlapping a proximal portion of the first stent, wherein the proximal end of the first stent is positioned proximal to the distal end of the second stent, the medical device further comprising a pre-cannulation means providing a passage from the interior of the second stent to the exterior of the first stent passing the stent overlapping portion between the inner surface of the second stent and the outer surface of the first stent.",20210804,BENTLEY INNOMED GMBH,REIJNEN MICHEL M P J,A61F2/852
EP-3883464-A1,Integrierte bildgebungs- und medizinproduktfreisetzungsvorrichtung und verfahren zur verwendung,"The present invention concerns an integrated imaging and medical device delivery apparatus comprising retaining means for retaining a deployable medical device (5); and an imaging probe lumen (10) defining a navigation pathway through the apparatus, the navigation pathway allowing an imaging probe (11) to be reciprocally axially movable through the apparatus, the apparatus further comprising one or more reference points (7) along the navigation pathway, providing positional information relative to a retained deployable medical device (5).",20210929,VASCUTEK LTD,RUMBLES ROBERT,A61F2/95
EP-4119053-A1,Rauschverminderung von intrakardialen elektrokardiogrammen unter verwendung eines autocodierers und verwendung und verfeinerung von intrakardialen und körperoberflächen-elektrokardiogrammen unter verwendung von tiefenlern-trainingsverlustfunktionen,"A system and method include a memory storing processor executable code for a denoised autoencoder, and one or more processors coupled to the memory to execute the processor executable code to receive raw signal data comprising signal noise, encode, by the denoised autoencoder, the raw signal data by performing a denoising autoencoder operation to produce a latent representation, and decode, by the denoised autoencoder, the latent representation to produce clean signal data reconstructed without the signal noise. A first filter is applied to a signal to emphasize activity within the signal and to produce a first modified signal, a rectifier and a second filter are applied to the first modified signal to smooth areas of the first modified signal with clinical importance and to produce a second modified signal, and high frequency energy zones of the second modified signal are automatically detected using an energy threshold to produce a weights vector.",20230118,BIOSENSE WEBSTER ISRAEL LTD,AMOS YARIV AVRAHAM,A61B5/287
EP-4163372-A1,Nukleinsäuremolekül mit verbesserter stabilität und verwendung davon,"Provided are structural properties of double-stranded RNA molecules for inducing RNA interference, and more specifically, a novel nucleic acid molecule structure for inducing RNAi with improved stability, and a use thereof. A nucleic acid molecule for inducing RNAi provided herein is capable of significantly improving stability of a double-stranded RNA molecule  in vivo  while maintaining inhibition efficiency for a target gene, and therefore, as a expandable platform for targeting various genes, the RNA nucleic acid molecule is expected to replace siRNA molecules in the art, and be usefully utilized in the field of diagnosis or treatment of various diseases in research and clinical fields.",20230412,IMNEWRUN INC,KIM YONG HO,C12N2310/344
EP-4325591-A3,Casque d&#39;écoute et électrodes pour détecter un potentiel bioélectrique et leurs procédés de fonctionnement,"Disclosed are medical devices for sensing bioelectrical potential including an electroencephalography (EEG) headset, electrodes compatible therewith, and methods of operation thereof. The headset can comprise a left junction and a right junction, a plurality of length-adjustable bands connecting the left junction and the right junction, and a number of electrodes. Each of the electrodes can comprise an electrode body coupled to one of the plurality of length-adjustable bands and a detachable electrode tip configured to be detachably coupled to the electrode body. The electrode tip can comprise an electrode tip body, one or more deflectable electrode legs coupled to the electrode tip body, and a conductive cushioning material coupled to a segment of at least one of the one or more electrode legs. The conductive cushioning material can retain or be saturated with one or more conductors.",20240501,ZETO INC,GUNASEKAR ASWIN,A61B5/291
US-10019794-B2,Method and apparatus for breast lesion diagnosis,"Provided herein is an image interpretation auxiliary method for breast lesion diagnosis, the method including obtaining, by an image interpretation auxiliary apparatus, a plurality of 3D images photographed from a breast; determining, by the image interpretation auxiliary apparatus, a first image of among the plurality of 3D images as a basic image; and creating an image for interpretation, by the image interpretation auxiliary apparatus, by combining information related to a second image of among the plurality of 3D images with the first image.",20180710,ELECTRONICS & TELECOMMUNICATIONS RES INST,JEONG JI WOOK,A61B6/025
US-10420810-B2,Traditional Chinese medicine composition for the treatment of diabetic retinopathy,"The present invention provides a traditional Chinese medicine (TCM) composition for the treatment of diabetic retinopathy, wherein the active pharmaceutical ingredients (APIs) of the said TCM composition are:  Astragali Radix  10-80 parts by weight,  Pseudostellariae Radix  5-30 parts by weight,  Cinnamomi Ramulus  3-25 parts by weight,  Angelicae Sinensis Radix  8-60 parts by weight,  Notoginseng Radix  ET  Rhizoma  2-15 parts by weight,  Dioscoreae Rhizoma  10-80 parts by weight,  Salviae Miltiorrhizae Radix  ET  Rhizoma  10-80 parts by weight,  Pheretima  2-15 parts by weight,  Rehmanniae Radix  8-60 parts by weight, and  Atractylodis Macrocephalae Rhizoma  8-60 parts by weight. It has been shown by clinical experiments that, the invented TCM composition has an exact efficacy in patients with macular edema and can effectively improve the patients&#39; visual acuity and visual field and relieve ocular fundus diseases, playing an active role in alleviating macular edema.",20190924,JIN MING,JIN MING,A61K36/8945
US-10653653-B2,Salts of 5-aminolevulinic acid and derivatives,"The present disclosure provides new salts of 5-aminolevulinic acid (5-ALA) and new salts of 5-ALA esters, their preparation, formulation and use as photosensitizing agents in photodynamic therapy, diagnosis and cosmetic cares.",20200519,ZHAO MING,ZHAO MING,A61K9/0009
US-2023134195-A1,Systems and methods for video and audio analysis,"Systems and methods for video analysis are provided. The systems and methods may utilize machine learning to recognize steps of a medical procedure as they are being performed, and compare them with expected steps. The systems and methods may aid in supporting a medical practitioner before the procedure, during the procedure, as well as providing feedback after the procedure has been completed.",20230504,AVAIL MEDSYSTEMS INC,HAWKINS DANIEL,G06N3/0464
US-2023290053-A1,Systems and methods for subject positioning,The present disclosure is related to systems and methods for subject positioning. The method includes generating a reference subject model of a subject to be scanned by a medical device based on feature information of the subject and a scan protocol of the subject. The method includes generating a target subject model by performing one or more rendering operations on the reference subject model based on at least one rendering parameter associated with an image capturing device. The method includes generating a positioning result by integrating the target subject model with image data related to a scan scene of the subject captured by the image capturing device. The method includes positioning the subject based on the positioning result.,20230914,SHANGHAI UNITED IMAGING HEALTHCARE CO LTD,BU YANG,A61B6/04
US-2023329909-A1,Systems and methods for determining the characteristics of structures of the eye including shape and positions,"Systems, devices and methods for performing deep learning process to determine the characteristics of structures of the eye. Deep leaning, imaging devices and methods for laser and phacoemulsification operations. An integrated imaging device, laser-ultrasound, including femto-phaco, system and a computer vision device. Methods of training and using computer vision devices in ophthalmic treatment systems and therapies.",20231019,LENSAR INC,MORELY DUSTIN,G06N3/0464
US-2023389851-A1,Systems and methods for controlling a device based on detection of transient oscillatory or pseudo-oscillatory bursts,"Systems, methods, and apparatus for controlling a device based on the detection of transient oscillatory or pseudo-oscillatory bursts are disclosed. For example, a method can comprise detecting one or more transient oscillatory or pseudo-oscillatory bursts from an ongoing neural signal recording of a subject. The method can also comprise extracting one or more burst features from the one or more transient oscillatory or pseudo-oscillatory bursts detected within a detection period. The method can also comprise predicting a thought generated or conjured by the subject or a change in mental state evoked by the subject by applying at least one of a machine learning algorithm and a feature threshold to the one or more burst features extracted within the detection period. An input command associated with the prediction can be transmitted to the device in order to control the device.",20231207,SYNCHRON AUSTRALIA PTY LTD,TAL IDAN,A61N1/36135
US-2024041814-A1,Use of reagent for detecting retinol metabolite in preparation of tool for diagnosing and/or treating pneumoconiosis,"The present disclosure provides use of a reagent for detecting retinol metabolites in preparation of a tool for diagnosing and/or treating pneumoconiosis, and relates to the technical field of biomedicine. The present disclosure verifies that retinol metabolism disturbance and all-trans retinoic acid (ATRA) deficiency are closely related to the pathogenesis of pneumoconiosis. Therefore, the present disclosure sets forth use of retinol and ATRA as biomarkers for screening the pneumoconiosis and use thereof in preparation of products related to the diagnosis of the pneumoconiosis; meanwhile, intervention of the pneumoconiosis with the ATRA can effectively delay the progression of the pneumoconiosis. Therefore, the present disclosure first sets forth use of the ATRA as a medicament for treating the pneumoconiosis.",20240208,INST OF BASIC MEDICAL SCIENCES OF CHINESE ACADEMY OF MEDICAL SCIENCES,WANG JING,Y02A50/30
US-2024058439-A1,"Nanoemulsion compositions for preventing, suppressing or eliminating allergic and inflammatory disease","The present invention provides methods and compositions for the stimulation of immune responses and for treating or preventing allergic disease and responses and inflammatory disease and responses. In particular, the present invention provides nanoemulsion compositions and methods of using the same for the induction of immune responses that prevent or treat allergic disease by reducing allergic response. Compositions and methods of the invention find use in, among other things, clinical (e.g. therapeutic and preventative medicine (e.g., vaccination)) and research applications.",20240222,UNIV MICHIGAN REGENTS,BAKER JR JAMES R,A61K39/35
US-2024112799-A1,Training domain-based ai boosting of an iol determination,"A computer implemented method for determining a refractive power value of an intraocular lens to be inserted is described. The method includes measuring ophthalmological patient data, receiving a target refraction value, determining a first refractive power value of an intraocular lens to be inserted, with the measured ophthalmological patient data and the target refraction value being used as input data, determining, by means of a trained machine learning system, a second refractive power value of the intraocular lens to be inserted, the measured ophthalmological patient data and the received target refraction value being used as input data for the trained machine learning system, and determining the final refractive power value of the intraocular lens to be inserted from the first refractive power value and the second refractive power value by means of an individual boosting factor value.",20240404,ZEISS CARL MEDITEC AG,BURWINKEL HENDRIK,A61B3/0025
US-2024281966-A1,"Machine learning systems and methods for assessment, healing prediction, and treatment of wounds","Machine learning systems and methods are disclosed for prediction of wound healing, such as for diabetic foot ulcers or other wounds, and for assessment implementations such as segmentation of images into wound regions and non-wound regions. Systems for assessing or predicting wound healing can include a light detection element configured to collect light of at least a first wavelength reflected from a tissue region including a wound, and one or more processors configured to generate an image based on a signal from the light detection element having pixels depicting the tissue region, determine reflectance intensity values for at least a subset of the pixels, determine one or more quantitative features of the subset of the plurality of pixels based on the reflectance intensity values, and generate a predicted or assessed healing parameter associated with the wound over a predetermined time interval.",20240822,SPECTRAL MD INC,FAN WENSHENG,G06N3/09
US-12171542-B2,Systems and methods for estimating histological features from medical images using a trained model,"Systems and methods for estimating quantitative histological features of a subject&#39;s tissue based on medical images of the subject are provided. For instance, quantitative histological features of a tissue are estimated by comparing medical images of the subject to a trained model that relates histological features to multiple different medical image contrast types, whether from one medical imaging modality or multiple different medical imaging modalities. In general, the trained model is generated based on medical images of ex vivo samples, in vitro samples, in vivo samples or combinations thereof, and is based on histological features extracted from those samples. A machine learning algorithm, or other suitable learning algorithm, is used to generate the trained model. The trained model is not patient-specific and thus, once generated, can be applied to any number of different individual subjects.",20241224,MEDICAL COLLEGE WISCONSIN INC,LAVIOLETTE PETER SHERMAN,A61B5/055
US-2018199923-A9,Percutaneous Aspirating Cannula,"The dual syringe with percutaneous cannula is a medical device for harvesting and transferring cells for autologous transplantation without the requirement of a surgical setting or ambulatory care. The dual syringe is a closed sterile system that allows for the harvesting syringe to harvest the cells/tissue from a first location of a patient which is then centrifuged to aggregate the cells. The aggregated cell pellet is transferred to a transfer syringe. The cell pellet is then reinjected by the transfer syringe into the patient at a second location for therapeutic purpose. The percutaneous cannula permits insertion of a cannula, with the assistance of a needle, without the need of a surgical incision or trocar.",20180719,ADIMEND BIOSCIENCES LLC,GOLDEN JOE,A61B10/0283
US-2019054266-A1,Endotracheal Intubation and Supraglottic Airway Device,"An intubation and supraglottic airway medical device. The device includes an air tube for ventilation, and a tube for guiding a fiber-optic-probe-scope to the distal end of the device. The distal end of the device is configured with a balloon around the tube system and between a bottom plate and the tube system such that when inflated the distal end of the air-tube is moved and thereby positioning the air-tube distal opening in front of a laryngeal inlet. Additionally, the balloon forms a seal with the surrounding tissue. The device includes a drainage loop and an esophageal blocker preventing aspiration. The air tube distal end can include a lifting plate configured to lift an epiglottis when the balloon is inflated.",20190221,SUN YANG,SUN YANG,A61B1/00135
US-2018174068-A1,Method and process for providing a subject-specific computational model used for treatment of cardiovascular diseases,"A subject-specific simulation model of at least one component in the cardiovascular system for simulating blood flow and/or structural features. This simulation model can be used as a tool for cardiovascular diagnostic and/or treatment planning. The invention also regards non-invasive medical imaging of the cardiovascular system. The simulation model of a component in the cardiovascular system, for instance a pumping heart, is reconstructed by combining computational fluid dynamics (CFD) and/or fluid structure interaction (FSI) algorithms with medical imaging, such as for example ultrasound, MRI or CT. Such models make it possible to describe the complex flow phenomenon and provide flow details. The subject-specific model is a tool for clinical decision-making, an objective support for health care professionals in making decisions prior to surgery.",20180621,SINTEF TTO AS,DAHL SIGRID KAARSTAD,A61B5/0044
US-2018326211-A1,Methods and devices for adapting charge initiation for an implantable defibrillator,"Adaptive methods for initiating charging of the high power capacitors of an implantable medical device for therapy delivery after the patient experiences a non-sustained arrhythmia, and devices that perform such methods. The adaptive methods and devices adjust persistence criteria used to analyze an arrhythmia prior to initiating a charging sequence to deliver therapy. Some embodiments apply a specific sequence of X-out-of-Y criteria, persistence criteria and last even criteria before starting charging for therapy delivery.",20181115,CAMERON HEALTH INC,WARREN JAY A,A61N1/3956
US-2024008850-A1,Ultrasound remote diagnosis system and method thereof,"An ultrasound remote diagnosis system according to an embodiment of the present disclosure includes a main body including a main panel, a touch panel, and a control panel, and a remote device in communication with the main body, wherein the remote device is configured to: independently receive, among display data which is real-time image information of the main panel, first control data which is real-time image information of the touch panel, and second control data which is a virtual control panel corresponding to the control panel, at least each information corresponding to the display data and the first control data, from the main body; and the main body is configured to receive a marker information for measurement input to at least one of the display part, the first controller, and the second controller of the remote device and display on the main panel.",20240111,SAMSUNG MEDISON CO LTD,LEE SEUNG JU,A61B8/465
US-2024010638-A1,Improved synthesis of crac channel inhibitors,Provided herein is an improved synthetic method for the production of CRAC channel inhibitors. The synthetic method provides a method for producing highly pure CRAC channel inhibitors for clinical testing.,20240111,CALCIMEDICA INC,STAUDERMAN KENNETH,C07D405/04
US-2024257342-A1,Three-dimensional dental model segmentation quality assessment,"Provided herein are apparatuses (e.g., systems) and methods for automatically assessing a segmented 3D dental model. The segmented 3D dental model may be classified by a trained machine learning classifier (a trained neural network). In some cases, the segmented 3D dental model may be classified as a passing (acceptable) or failing (unacceptable) model. The machine learning classifier may be trained with labeled 3D dental models that illustrate passing and failing segmented 3D dental models.",20240801,ALIGN TECHNOLOGY INC,SEMENOV ANDREI,G06T19/20
